Conference,Year,Title,Authors,PDF Link,File name,Code,Data,status_code,Comments,Assigned To
ACSAC,2013,Systems thinking for safety and security,"William Young, Nancy Leveson",https://dl.acm.org/doi/pdf/10.1145/2523649.2530277,william_young_2013,,,,,
ACSAC,2013,AFrame: isolating advertisements from mobile applications in Android,"Xiao Zhang, Amit Ahlawat, Wenliang Du",https://dl.acm.org/doi/pdf/10.1145/2523649.2523652,xiao_zhang_2013,https://github.com/zhxzhxustc/AFrame,,200,Android SDK,
ACSAC,2013,The man who was there: validating check-ins in location-based services,"Iasonas Polakis,Stamatis Volanis,Elias Athanasopoulos,Evangelos P. Markatos",https://dl.acm.org/doi/pdf/10.1145/2523649.2523653,iasonas_polakis_2013,,,,,
ACSAC,2013,Discovery of emergent malicious campaigns in cellular networks,"Nathaniel Boggs,Wei Wang,Suhas Mathur,Baris Coskun,Carol Pincock",https://dl.acm.org/doi/pdf/10.1145/2523649.2523657,nathaniel_boggs_2013,,,,,
ACSAC,2013,Message in a bottle: sailing past censorship,"Panagiotis Papadopoulos,Antonis Papadogiannakis,Michalis Polychronakis,Apostolis Zarras,Thorsten Holz,Evangelos P. Markatos",https://dl.acm.org/doi/pdf/10.1145/2523649.2523671,panagiotis_papadopoulos_2013,,,,,
ACSAC,2013,MyCloud: supporting user-configured privacy protection in cloud computing,"Min Li,Wanyu Zang,Kun Bai,Meng Yu,Peng Liu",https://dl.acm.org/doi/pdf/10.1145/2523649.2523680,min_li_2013,,,,,
ACSAC,2013,Extraction of statistically significant malware behaviors,"Sirinda Palahan,Domagoj Babić,Swarat Chaudhuri,Daniel Kifer",https://dl.acm.org/doi/pdf/10.1145/2523649.2523659,sirinda_palahan_2013,,,,,
ACSAC,2013,DUET: integration of dynamic and static analyses for malware clustering with cluster ensembles,"Xin Hu,Kang G. Shin",https://dl.acm.org/doi/pdf/10.1145/2523649.2523677,xin_hu_2013,,,,,
ACSAC,2013,SigMal: a static signal processing based malware triage,"Dhilung Kirat,Lakshmanan Nataraj,Giovanni Vigna,B. S. Manjunath",https://dl.acm.org/doi/pdf/10.1145/2523649.2523682,dhilung_kirat_2013,,,,,
ACSAC,2013,CPS: an efficiency-motivated attack against autonomous vehicular transportation,"Ryan M. Gerdes,Chris Winstead,Kevin Heaslip",https://dl.acm.org/doi/pdf/10.1145/2523649.2523658,ryan_gerdes_2013,,,,,
