Conference,Year,Title,Authors,PDF Link,Code,status_code,Data,File name,Comments,Assigned To
AsiaCCS,2013,AppInk: watermarking android apps for repackaging deterrence,Zhou Wu and Zhang Xinwen and Jiang Xuxian,AppInk: Watermarking Android Apps for Repackaging Deterrence,,,,Wu_Zhou_2013,,
AsiaCCS,2013,PSiOS: bring your own privacy and security to iOS devices,Werthmann Tim and Hund Ralf and Davi Lucas and Sadeghi Ahmad-Reza and Holz Thorsten,https://dl.acm.org/doi/pdf/10.1145/2484313.2484316,,,,Tim_Werthmann_2013.pdf,,
AsiaCCS,2013,On the effectiveness of API-level access control using bytecode rewriting in Android,Hao Hao and Singh Vicky and Du Wenliang,https://dl.acm.org/doi/pdf/10.1145/2484313.2484317,,,,Hao_Hao_2013.pdf,,
AsiaCCS,2013,Designing leakage-resilient password entry on touchscreen mobile devices,Yan Qiang and Han Jin and Li Yingjiu and Zhou Jianying and Deng Robert H.,https://dl.acm.org/doi/pdf/10.1145/2484313.2484318,,,,Qiang_Yan_2013.pdf,,
AsiaCCS,2013,Your love is public now: questioning the use of personal information in authentication,Gupta Payas and Gottipati Swapna and Jiang Jing and Gao Debin,https://dl.acm.org/doi/pdf/10.1145/2484313.2484319,,,,Payas_Gupta_2013.pdf,,
AsiaCCS,2013,Multi-key leakage-resilient threshold cryptography,Zhang Cong and Yuen Tsz Hon and Xiong Hao and Chow Sherman S.M. and Yiu Siu Ming and He Yi-Jun,https://dl.acm.org/doi/pdf/10.1145/2484313.2484321,,,,Cong_Zhang_2013.pdf,,
AsiaCCS,2013,Privacy-preserving multi-keyword text search in the cloud supporting similarity-based ranking,Sun Wenhai and Wang Bing and Cao Ning and Li Ming and Lou Wenjing and Hou Y. Thomas and Li Hui,https://dl.acm.org/doi/pdf/10.1145/2484313.2484322,,,,Wenhai_Sun_2013.pdf,,
AsiaCCS,2013,Practical and post-quantum authenticated key exchange from one-way secure key encapsulation mechanism,Fujioka Atsushi and Suzuki Koutarou and Xagawa Keita and Yoneyama Kazuki,https://dl.acm.org/doi/pdf/10.1145/2484313.2484323,,,,Atsushi_Fujioka_2013.pdf,,
AsiaCCS,2013,Blank digital signatures,Hanser Christian and Slamanig Daniel,https://dl.acm.org/doi/pdf/10.1145/2484313.2484324,,,,Christian_Hanser_2013.pdf,,
AsiaCCS,2013,Pseudorandom signatures,"Fleischhacker Nils and G\""{u}nther Felix and Kiefer Franziskus and Manulis Mark and Poettering Bertram",https://dl.acm.org/doi/pdf/10.1145/2484313.2484325,,,,Nils_Fleischhacker_2013.pdf,,
AsiaCCS,2013,Looking at the bag is not enough to find the bomb: an evasion of structural methods for malicious PDF files detection,Maiorca Davide and Corona Igino and Giacinto Giorgio,https://dl.acm.org/doi/pdf/10.1145/2484313.2484327,,,,Davide_Maiorca_2013.pdf,,
AsiaCCS,2013,Efficient user-space information flow control,Niu Ben and Tan Gang,https://dl.acm.org/doi/pdf/10.1145/2484313.2484328,,,,Ben_Niu_2013.pdf,,
AsiaCCS,2013,SocialWatch: detection of online service abuse via large-scale social graphs,Huang Junxian and Xie Yinglian and Yu Fang and Ke Qifa and Abadi Martin and Gillum Eliot and Mao Z. Morley,https://dl.acm.org/doi/pdf/10.1145/2484313.2484330,,,,Junxian_Huang_2013.pdf,,
