Conference,Year,Title,Authors,PDF Link,File name,Code,status_code,Data,Comments,Assigned To
EuroS&P,2015,Using Hardware Features for Increased Debugging Transparency,"Fengwei Zhang,Kevin Leach,Angelos Stavrou,Haining Wang,Kun Sun",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7163018,Fengwei_Zhang_2015.pdf,,,,,
EuroS&P,2015,SoK: Secure Messaging,"Nik Unger,Serge Dechand,Joseph Bonneau,Sascha Fahl,Henning Perl,Ian Goldberg, Matthew Smith",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a232.pdf,Nik_Unger_2015.pdf,,,,,
EuroS&P,2015,Secure Track Verification,"Vincent Lenders,Matthias Schafer,Jens Schmitt",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a199.pdf,Vincent_Lenders_2015.pdf,,,,,
EuroS&P,2015,Connection-Oriented DNS to Improve Privacy and Security,"Liang Zhu,Zi Hu,John Heidemann,Duane Wessels,Allison Mankin,Nikita Somaiya",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a171.pdf,Liang_Zhu_2015.pdf,,,,,
EuroS&P,2015,Understanding and Monitoring Embedded Web Scripts,"Yuchen Zhou,David Evans",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a850.pdf,Yuchen_Zhou_2015.pdf,,,,,
EuroS&P,2015,Leave Me Alone: App-level Protection Against Runtime Information Gathering on Android,"Nan Zhang,Kan Yuan,Muhammad Naveed,Xiaoyong Zhou,XiaoFeng Wang",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a915.pdf,Nan_Zhang_2015.pdf,,,,,
EuroS&P,2015,Cross-Architecture Bug Search in Binary Executables,"Jannik Pewny,Behrad Garmany,Robert Gawlik,Christian Rossow,Thorsten Holz",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a709.pdf,Jannik_Pewny_2015.pdf,,,,,
EuroS&P,2015,Controlled-Channel Attacks: Deterministic Side Channels for Untrusted Operating Systems,"Yuanzhong Xu,Weidong Cui,Marcus Peinado",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a640.pdf,Yuanzhong_Xu_2015.pdf,,,,,
EuroS&P,2015,Towards Making Systems Forget with Machine Unlearning,"Yinzhi Cao,Junfeng Yang",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a463.pdf,Yinzhi_Cao_2015.pdf,,,,,
EuroS&P,2015,Cracking-Resistant Password Vaults using Natural Language Encoders,"Rahul Chatterjee,Joseph Bonneau,Ari Juels,Thomas Ristenpart",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a481.pdf,Rahul_Chatterjee_2015.pdf,,,,,
EuroS&P,2015,SoK: A comprehensive analysis of game-based ballot privacy definitions,"David Bernhard,Veronique Cortier,David Galindo,Olivier Pereira,Bogdan Warinschi",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a499.pdf,David_Galindo_2015.pdf,,,,,
EuroS&P,2015,Privacy and Access Control for Outsourced Personal Records,"Matteo Maffei,Giulio Malavolta,Manuel Reinert,Dominique Schroder",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a341.pdf,Matteo_Maffei_2015.pdf,,,,,
EuroS&P,2015,Malicious-Client Security in Blind Seer: A Scalable Private DBMS,"Binh Vo,Ben A. Fisch,Fernando Krell,Abishek Kumarasubramanian,Vladimir Kolesnikov,Tal Malkin,Steven M. Bellovin",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a395.pdf,Binh_Vo_2015.pdf,,,,,
EuroS&P,2015,Forward Secure Asynchronous Messaging from Puncturable Encryption,"Ian Miers,Matthew D. Green",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a305.pdf,Ian_Miers_2015.pdf,,,,,
EuroS&P,2015,The Miner’s Dilemma,Ittay Eyal,https://www.ieee-security.org/TC/SP2015/papers-archived/6949a089.pdf,Ittay_Eyal_2015.pdf,,,,,
EuroS&P,2015,Bitcoin over Tor isn’t a good idea,"Alex Biryukov,Ivan Pustogarov",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a122.pdf,Alex_Biryukov_2015.pdf,,,,,
EuroS&P,2015,Protecting Private Keys against Memory Disclosure Attacks using Hardware Transactional Memory,"Le Guan,Jingqiang Lin,Bo Luo,Jiwu Jing,Jing Wang",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a003.pdf,Le_Guan_2015.pdf,,,,,
EuroS&P,2015,VC3: Trustworthy Data Analytics in the Cloud using SGX,"Felix Schuster,Manuel Costa,Cedric Fournet,Christos Gkantsidis,Marcus Peinado,Gloria Mainar-Ruiz,Mark Russinovich",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a038.pdf,Felix_Schuster_2015.pdf,,,,,
EuroS&P,2015,SoK: Research Perspectives and Challenges for Bitcoin and Cryptocurrencies,"Joseph Bonneau,Andrew Miller,Jeremy Clark,Arvind Narayanan,Joshua A. Kroll,Edward W. Felten",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a104.pdf,Joseph_Bonneau_2015.pdf,,,,,
EuroS&P,2015,Temporal Lensing and its Application in Pulsing Denial-of-Service Attacks,"Ryan Rasti,Mukul Murthy,Nicholas Weaver,Vern Paxson",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a187.pdf,Ryan_Rasti_2015.pdf,,,,,
EuroS&P,2015,How Secure and Quick is QUIC? Provable Security and Performance Analyses,"Robert Lychev,Samuel Jero,Alexandra Boldyreva,Cristina Nita-Rotaru",https://www.ieee-security.org/TC/SP2015/papers-archived/6949a214.pdf,Robert_Lychev_2015.pdf,,,,,
EuroS&P,2016,Explicit Secrecy: A Policy for Taint Tracking,"Daniel Schoepe, Musard Balliu, Benjamin C. Pierce, Andrei Sabelfeld",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467344,Daniel_Schoepe_2016.pdf,,,,,
EuroS&P,2016,Precisely Measuring Quantitative Information Flow: 10K Lines of Code and Beyond,"Celina G. Val, Michael A Enescu, Sam Bayless, William Aiello, Alan J Hu",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467345,Celina_Val_2016.pdf,,,,,
EuroS&P,2016,HornDroid: Practical and Sound Static Analysis of Android Applications by SMT Solving,"Stefano Calzavara, Ilya Grishchenko, Matteo Maffei",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467346,Stefano_Calzavara_2016.pdf,,,,,
EuroS&P,2016,Games Without Frontiers: Investigating Video Games as a Covert Channel,"Bridger Hahn, Rishab Nithyanand, Phillipa Gill, Rob Johnson",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467347,Bridger_Hahn_2016.pdf,https://github.com/bridgar/Castle-Covert-Channel,200,,,
EuroS&P,2016,The OPTLS Protocol and TLS 1.3,"Hugo Krawczyk, Hoeteck Wee",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467348,Hugo_Krawczyk_2016.pdf,,,,,
EuroS&P,2016,A class of precomputation-based distance-bounding protocols,"Sjouke Mauw, Jorge Toro Pozo, Rolando Trujillo-Rasua",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467349,Sjouke_Mauw_2016.pdf,,,,,
EuroS&P,2016,"Frigate: A Validated, Extensible, and Efficient Compiler and Interpreter for Secure Computation","Benjamin Mood, Debayan Gupta, Henry Carter, Kevin Butler, Patrick Traynor",https://cise.ufl.edu/~butler/pubs/eurosp16.pdf,Benjamin_Mood_2016.pdf,https://bitbucket.org/bmood/frigaterelease/src/master/,200,,,
EuroS&P,2016,Translingual Obfuscation,"Pei Wang, Shuai Wang, Jiang Ming, Yufei Jiang, Dinghao Wu",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467351,Pei_Wang_2016.pdf,,,,,
EuroS&P,2016,Reasoning about Object Capabilities with Logical Relations and Effect Parametricity,"Dominique Devriese, Lars Birkedal, Frank Piessens",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467352,Dominique_Devriese_2016.pdf,,,,,
EuroS&P,2016,Strong and Provably Secure Database Access Control,"Marco Guarnieri, Srdjan Marinovic, David Basin",https://ethz.ch/content/dam/ethz/special-interest/infk/inst-infsec/information-security-group-dam/research/projects/databaseAccessControl/eurosp2016.pdf,Marco_Guarnieri_2016.pdf,,,,,
EuroS&P,2016,Fine-Grained Control-Flow Integrity for Kernel Software,"Xinyang Ge, Nirupama Talele, Mathias Payer, Trent Jaeger",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467354,Xinyang_Ge_2016.pdf,,,,,
EuroS&P,2016,On the Inference of User Paths from Anonymized Mobility Data,"Galini Tsoukaneri, George Theodorakopoulos, Hugh Leather, Mahesh K. Marina",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467355,Galini_Tsoukaneri_2016.pdf,,,,,
EuroS&P,2016,NavigaTor: Finding Faster Paths to Anonymity,"Robert Annessi, Martin Schmiedecker",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7467356,Robert_Annessi_2016.pdf,https://github.com/naviga-tor/navigator,200,,,
