Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Made Available,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
PAcT: Detecting and Classifying Privacy Behavior of Android Applications,"Vijayanta Jain, Sanonda Datta Gupta, Sepideh Ghanavati, Sai Teja Peddinti, Collin McMillan",https://dl.acm.org/doi/pdf/10.1145/3507657.3528543,https://github.com/PERC-Lab/PAcT,WiSec,2022,1,2,2,1,2,"Aug 20, 2023",Python,,2,-1,,0,,0,Some extra depenendencies not mentioned in the setup were needed. There are issues in parsing the dataset. More debugging in the code is needed to fix this
Short Paper: BP-MAC: Fast Authentication for Short Messages,"Eric Wagner, Martin Serror, Klaus Wehrle, Martin Henze",https://dl.acm.org/doi/pdf/10.1145/3507657.3528554,https://github.com/fkie-cad/bpmac,WiSec,2022,0,2,0,1,2,"Nov 22, 2022",c,,2,-1,,1,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)",4,
Differentially Private Two-Party Set Operations,"Bailey Kacsmar, Basit Khurram, Nils Lukas, Alexander Norton, Masoumeh Shafieinejad, Zhiwei Shang, Yaser Baseri, Maryam Sepehri, Simon Oya, Florian Kerschbaum",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9230399,https://github.com/cryspuwaterloo/DiPSI,EuroS&P,2020,0,1,0,1,2,"Mar 19, 2020",cpp,,2,-1,,0,"NSERC, Royal Bank of Canada, European Union’s Horizon 2020 Research and Innovation Programme",-1,"Poor Instructions for setup. Issue with make file, while linking CXX executable"
Signal Injection Attacks against CCD Image Sensors,Kohler Sebastian and Baker Richard and Martinovie Ivan,dl.acm.org/doi/pdf/10.1145/3488932.3497771,https://github.com/ssloxford/ccd-signal-injection-attacks,AsiaCCS,2022,0,1,0,1,2,"Aug 26, 2021",Python,SDR,0,-1,"SDR, Antenna",1,EPSRC and the Hans Böckler Foundation,-1,Made to reproduce attack and not results
HoneyGen: Generating Honeywords Using Representation Learning,Dionysiou Antreas and Vassiliades Vassilis and Athanasopoulos Elias,https://dl.acm.org/doi/pdf/10.1145/3433210.3453092,https://bitbucket.org/srecgrp/honeygen-generating-honeywords-using-representation-learning,AsiaCCS,2021,1,1,2,1,2,"Dec 12, 2021",Python,,0,1,,0,"European Union’s Horizon, Government of the Republic of Cyprus ",-1,Python script to generate results from each table and figure were given. Implementation was straight forward
Conware: Automated Modeling of Hardware Peripherals,Spensky Chad and Machiry Aravind and Redini Nilo and Unger Colin and Foster Graham and Blasband Evan and Okhravi Hamed and Kruegel Christopher and Vigna Giovanni,https://dl.acm.org/doi/pdf/10.1145/3433210.3437532,https://github.com/ucsb-seclab/conware,AsiaCCS,2021,0,2,0,1,2,"Jul 19, 2020",c,More time,-1,-1,,1,"Office of Naval Research, Department of Homeland Security",-1,Dependency installation takes a long time
The Taint Rabbit: Optimizing Generic Taint Analysis with Dynamic Fast Path Generation,John Galea and Daniel Kroening,https://dl.acm.org/doi/pdf/10.1145/3320269.3384764,https://github.com/Dynamic-Rabbits/Dynamic-Rabbits,AsiaCCS,2020,0,1,0,1,2,"Nov 10, 2021",c,,2,-1,,1,"EPSRC CDTin Cyber Security, VETSS and the Endeavour Scholarship Scheme (partly financed by the European Social Fund).",-1,"Has dependency on DynamoRIO. Although the script provides a way to setup DynamoRIO and install automatically, it fails to build"
EGIS: Shileding Vulnerable Smart Contracts Against Attacks,Christof Ferreira Torres and Mathis Baden  and Robert Norvill and   Pontiveros Fiz and Beltran Borja and Hugo Jonker and Mauw Sjouke.,https://dl.acm.org/doi/pdf/10.1145/3320269.3384756,https://github.com/christoftorres/Aegis,AsiaCCS,2020,0,1,1,1,2,"Aug 13, 2020",Docker,,2,-1,,1,Luxembourg National Research Fund (,-1,No listening ports to HTTP-RCP server identified inside server
Utilizing Public Blockchains for the Sybil-Resistant Bootstrapping of Distributed Anonymity Services,Roman Matzutt and Jan Pennekamp and Erik Buchholz and Klaus Wehrle,https://dl.acm.org/doi/pdf/10.1145/3320269.3384729,https://github.com/COMSYS/anonboot,AsiaCCS,2020,0,2,0,1,2,"Mar 1, 2023",Python,More time,0,-1,,1,German Federal Ministry of Education and Research,-1,Paper says worst case time for bootstrapping is 2 hrs. Execution ran for more than 3 hrs. Can be hardware specific. Can evaluate later
"Skeptic: Automatic, Justified and Privacy-Preserving Password Composition Policy Selection",Saul johnson and Joao Ferreira and Mendes Alexandra and Cordry Julien,https://dl.acm.org/doi/pdf/10.1145/3320269.3384762,https://github.com/sr-lab/skeptic-authority-template/,AsiaCCS,2020,0,2,0,1,2,"Dec 8, 2019","Coq, Python",,2,-1,,1,,-1,
