Paper Title,Author,Link to Paper,Link for Code,Conference,Year,"4,6",ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
UE Security Reloaded: Developing a 5G Standalone User-Side Security Testing Framework,"Evangelos Bitsikas, Syed Khandker, Ahmad Salous, Aanjhan Ranganathan, Roger Piqueras Jover, Christina Pöpper",https://dl.acm.org/doi/pdf/10.1145/3558482.3590194,https://github.com/vaggelis-sudo/5G-UE-SecurityTesting,WiSec,2023,1,2,1,2,01/25/2024,Python,,0,-1,None,1,"Google 2022 Android Security and PrIvacy REsearch
(ASPIRE) Award, Abu Dhabi Award for Research Excellence
(AARE) 2019 (#AARE19-236)",-1,"Requires hardware (smartphone) to test, but not to build and run the project itself. Compilation was fine, but running tests required edits to a few example file paths they had provided."
EF/CF: High Performance Smart Contract Fuzzing for Exploit Generation,"Michael Rodler,David Paaßen,Wenting Li,Lukas Bernhard,Thorsten Holz,Ghassan Karame,Lucas Davi",https://arxiv.org/pdf/2304.06341.pdf,https://github.com/uni-due-syssec/efcf-framework/,EuroS&P,2023,2,2,"1,3",2,06/11/2023,Python,,0,1,None,0,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) under Germany’s Excellence Strategy - EXC 2092 CASA - 390781972, the German Federal Ministry of Education and Research (BMBF, project iBlockchain – 16KIS0901K), and the European Union (ERC, CONSEC, No. 101042266)",-1,Provided extremely helpful docker container that made build process trivial
Owfuzz: Discovering Wi-Fi Flaws in Modern Devices through Over-The-Air Fuzzing,"Hongjian Cao, Lin Huang, Shuwei Hu, Shangcheng Shi, Yujia Liu",https://dl.acm.org/doi/pdf/10.1145/3558482.3590174,https://github.com/Owfuzz/Owfuzz,WiSec,2023,3,2,1,2,02/15/2023,C,,1,-1,OpenWiFi dev board,1,None,-1,
Anomaly-based Filtering of Application-Layer DDoS Against DNS Authoritatives,"Jonas Bushart,Christian Rossow",https://publications.cispa.saarland/3925/1/dns-applayer-ddos-protection.pdf,https://github.com/cispa/DNS-Applayer-DDoS-Protection/,EuroS&P,2023,4,1,1,2,04/18/2023,"Rust, Python",,1,-2,None,0,None,-1,"Had to sort out some compilation steps and dependencies, but other than that straightforward."
RandCompile: Removing Forensic Gadgets from the Linux Kernel to Combat its Analysis,"Franzen, Fabian and Wilhelmer, Andreas Chris and Grossklags, Jens",https://dl.acm.org/doi/pdf/10.1145/3627106.3627197,https://github.com/tum-itsec/randcompile,ACSAC,2023,0,2,1,2,08/22/2023,C,,0,1,None,0,None,2,
On the Robustness of Wi-Fi Deauthentication Countermeasures,"Domien Schepers, Aanjhan Ranganathan, Mathy Vanhoef",https://dl.acm.org/doi/pdf/10.1145/3507657.3528548,https://github.com/domienschepers/wifi-deauthentication,WiSec,2022,0,1,proof-of-concept vulnerability payload,2,04/15/2023,Python,,N/A,-1,"WiFi Card,iOS Phone,Android Phone",1,Flemish Research Programme Cybersecurity,-1,"Would require wifi chip with monitor mode + iOS/Android devices to run; beyond that, it's just a proof of concept input payload..."
Provable Non-Frameability for 5G Lawful Interception,"Felipe Boeira, Mikael Asplund, Marinho Barcellos",https://dl.acm.org/doi/pdf/10.1145/3558482.3581780,https://gitlab.liu.se/ida-rtslab/public-code/2023_5g-nf,WiSec,2023,0,0,1,2,05/29/2023,Tamarin,,2,-1,None,0,None,-1,Missing information on prerequisite dependencies (overcame that); missing info on how to run scripts in a distributed cluster (couldn't figure out within hour)
BARON: Base-Station Authentication Through Core Network for Mobility Management in 5G Networks,"Alessandro Lotto, Vaibhav Singh, Bhaskar Ramasubramanian, Alessandro Brighente, Mauro Conti, Radha Poovendran",https://dl.acm.org/doi/pdf/10.1145/3558482.3590187,https://github.com/aleLtt/BARON_simulation,WiSec,2023,0,0,1,2,06/21/2023,C++,,2,-1,None,1,"supported by the US National Science Foundation,
the Office of Naval Research, European Commission under the
Horizon Europe Program, as part of the project LAZARUS, via
grants CNS-2153136, N00014-20-1-2636 and 101070303 respectively",-1,"No build information, just C++ files..."
5G SUCI-Catchers: Still catching them all?,"Merlin Chlosta, David Rupprecht, Christina Pöpper, Thorsten Holz",https://dl.acm.org/doi/pdf/10.1145/3448300.3467826,https://github.com/RUB-SysSec/SUCI-artifacts,WiSec,2021,0,0,2,2,06/07/2021,.pcap,,N/A,-1,None,1,"German Research Foundation
(DFG) within the framework of the Excellence Strategy of the Fed-
eral Government and the States – EXC 2092 CaSa – 39078197. It
was also supported by the Center for Cyber Security at New York
University Abu Dhabi (NYUAD) and the Abu Dhabi Award for
Research Excellence (AARE-2019) under grant AARE19-236",-1,Not an actual code project--just a bunch of traffic capture .pcap files.
Fuzzing with Data Dependency Information,"Alessandro Mantovani, Andrea Fioraldi, Davide Balzarotti",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpD06wc0M/pdf,https://github.com/elManto/DDFuzz,EuroS&P,2022,0,0,1,2,02/28/2022,C,,0,-1,None,1,"Defense Advanced Research Projects Agency (DARPA)
under agreement number FA875019C0003",-1,"README had no information on compiling or running, but did refer to AFLPlusPlus for that (which it was derived from) so I used that info to compile."
