Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
VoicePM: A Robust Privacy Measurement on Voice Anonymity,"Shaohu Zhang, Zhouyu Li, Anupam Das",https://dl.acm.org/doi/pdf/10.1145/3558482.3590175,https://github.com/zhangshaohu/VoicePM,WiSec,2023,0,1,"2,3",2,05/30/2023,N/A,,-1,1,,1,Meta research gift,-1,"The repository says that the code will be released soon,
 even though it's been one year"
Short Paper: Testing and Improving the Correctness of Wi-Fi Frame Injection,"Mathy Vanhoef, Xianjun Jiao, Wei Liu, Ingrid Moerman",https://dl.acm.org/doi/pdf/10.1145/3558482.3581779,https://github.com/vanhoefm/wifi-injection,WiSec,2023,1,2,"0,1",2,02/11/2023,Python,Needs access to a network adapter with monitor mode support,0,-1,Network adapter with monitor mode support,0,None,-1,"This repository mentions a method to perform an 'injection self-test', which does not require a second network card that supports a monitor mode. 
I attempted to run the Docker container with the host's network stack (--network=host), but it did not work, most likely because it's running in a VM."
Satellite Spoofing from A to Z: On the Requirements of Satellite Downlink Overshadowing Attacks,"Edd Salkield, Marcell Szakály, Joshua Smailes, Sebastian Köhler, Simon Birnbach, Martin Strohmeier, and Ivan Martinovic",https://dl.acm.org/doi/pdf/10.1145/3558482.3590190,https://github.com/ssloxford/satellite-spoofing-a-z/,WiSec,2023,0,2,"1,3",2,04/15/2023,Python,GNU Radio (For real-world experiments),1,1,"2x SDR, Monopole transmitting antenna and appropriate cables, 
Various receiving antennas and appropriate cables, 
Suitable transmitting amplifier, 
Two laptops capable of running the GNURadio pipelines
",0,None,"0,2,4",I had to install the Scipy package. Additional hardware is required for real-world experiments.
CryptoShield - Automatic On-Device Mitigation for Crypto API Misuse in Android Applications,"Florian Draschbacher,Johannes Feichtner",https://dl.acm.org/doi/pdf/10.1145/3579856.3582832,https://extgit.iaik.tugraz.at/fdraschbacher/cryptoshield,AsiaCCS,2023,6,1,1,0,06/29/2023,Java,Android device and Android Studio required,-1,-1,Android Device,1,None,-1,"An Android emulator could be used instead of a physical Android device, 
but Android Studio is required to build the project."
SoK: Cryptanalysis of Encrypted Search with LEAKER ‚Äì A framework for LEakage AttacK Evaluation on Real-world data,"Seny Kamara, Abdelkarim Kati, Tarik Moataz, Thomas Schneider, Amos Treiber, Michael Yonli",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpFG1Uw6Y/pdf,https://encrypto.de/code/LEAKER,EuroS&P,2022,1,1,1,2,01/30/2023,Python,Needs ESA dataset (not provided in the repo),2,-1,,1,European Research Council,-1,"The attacks were evaluated using the private data of volunteers
 by providing scripts to locally extract their GMail and Google Drive. "
Signature Correction Attack on Dilithium Signature Scheme,"Saad Islam, Koksal Mus, Richa Singh, Patrick Schaumont, Berk Sunar",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797351,https://github.com/vernamlab/SignatureCorrection,EuroS&P,2022,0,1,1,2,03/10/2022,C,The Rowhammer experiments requires a DDR3 DRAM which is vulnerable to Rowhammer attack,2,-1,DDR3 DRAM which is vulnerable to Rowhammer attack,1,"U.S. Department of State, 
Bureau of Educational and Cultural Affairs’ Fulbright Program, 
National Science Foundation",-1,The Makefile and build script mentioned in the README do not exist.
HyperLogLog: Exponentially Bad in Adversarial Settings,"Kenneth G. Paterson, Mathilde Raynal",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpDVwBfnW/pdf,https://github.com/PizzaWhisperer/HLLVuln,EuroS&P,2022,0,2,"1,3",2,09/08/2022,C,,0,1,,1,VMware,-1,Redis attacks could be reproduced but Classic HLL attacks took too long to run.
"Lightweight, Multi-Stage, Compiler-Assisted Application Specialization","Mohannad Alhanahnah, Rithik Jain, Vaibhav Rastogi, Somesh Jha, Thomas Reps",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpBUm45c4/pdf,https://github.com/Mohannadcse/LMCAS_Demo,EuroS&P,2022,0,2,"1,3",2,11/02/2021,Makefile,,0,1,,0," Rajiv and Ritu Batra, Facebook, ONR",-1,"The repository comes with it's own Dockerfile.
 The setup script contains the command to run the test case."
SoK: Cryptojacking Malware,"Ege Tekiner,Abbas Acar,A. Selcuk Uluagac,Engin Kirda,Ali Aydin Selcuk",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9581251,https://github.com/sokcryptojacking/SoK,EuroS&P,2021,0,1,1,2,04/12/2021,Python,,-1,-1,,1,"U.S. National Science Foundation, ONR, 
CyberFlorida Capacity Building Program",-1,The repository only contains datasets.
NoVT: Eliminating C++ Virtual Calls to Mitigate Vtable Hijacking,"Markus Bauer,Christian Rossow",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9581255,https://github.com/novt-vtable-less-compiler/novt-llvm,EuroS&P,2021,3,2,1,2,09/29/2022,C++,,1,-1,,1,,-1,"The build instructions do not mention some of the required packages. 
However, even after installing said packages, the test cases did not run 
(Most likely due to Python version mismatch)."
