Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments,,
Portability of Deep-Learning Side-Channel Attacks against Software Discrepancies,"Chenggang Wang, Mabon Ninan, Shane Reilly, Joel Ward, William Hawkins, Boyang Wang, John M Emmert",https://dl.acm.org/doi/pdf/10.1145/3558482.3590177,https://github.com/UCdasec/SoftPower,WiSec,2023,0,1,1,2,4/10/2024,Python,,1,2,,0,"National Science Foundation, NSF IUCRC Center for Hardware and Embedded System Security and Trust",-1,"no OS version
Data stored in a sharepoint in MANY files with no easy way to download everything at once
Looks like its 60+ GB to download
unsure which folder corresponds to which table, or even if they are all used
Used up 1 hour searching for which db to use, and what input to put into the given scripts",WiSec-2023-Portability_of_Deep-Learning_Side-Channel_Attacks_against_Software_Discrepancies,2_WiSec-2023-Portability_of_Deep-Learning
Transformer-based Extraction of Deep Image Models,"Verena Battis, Alexander Penner",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797343,https://github.com/Fraunhofer-SIT/ModExTransformer,EuroS&P,2022,-1,2,"1,2",2,3/18/2022,Python,,1,2,,0,,-1,"NO OS version
No Python version
broken dependency in their requirements.txt (numpy version)
Ran out of time when training the first of 3 models",EuroS&P-2022-Transformer-based_Extraction_of_Deep_Image_Models,3_EuroSP-2022-Transformer-based_Extraction_of
GRAPHITE: Generating Automatic Physical Examples for Machine-Learning Attacks on Computer Vision Systems,"Ryan Feng, Neal Mangaokar, Jiefeng Chen, Earlence Fernandes, Somesh Jha, Atul Prakash",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9797381,https://github.com/ryan-feng/GRAPHITE,EuroS&P,2022,0,2,"1,2",2,4/19/2024,Python,,0,3,,0,"DARPA, Air Force, NSF, ARO, Wisconsin Alumni Research Foundation",-1,"No OS, No Python
Missing packaging (python) dependency
Does not provide code for all figures/tables (only 1 table) and even with that it isnt clear how to map the script output to the table numbers/images",EuroS&P-2022-GRAPHITE:_Generating_Automatic_Physical_Examples_for_Machine-Learning_Attacks_on_Computer_Vision_Systems,4_EuroSP-2022-GRAPHITE_Generating_Automatic
BFU: Bayesian Federated Unlearning with Parameter Self-Sharing,"Weiqi Wang,Zhiyi Tian,Chenhan Zhang,An Liu,Shui Yu",https://dl.acm.org/doi/pdf/10.1145/3579856.3590327,https://github.com/wwq5-code/BFU-Code,AsiaCCS,2023,0,1,"1,2",2,11/13/2023,Python,,2,-1,,0,Australian Research Council,-1,"No OS version
Scripts have a path error to .py file
Missing python dependency (torchvision), installing this installs a newer version of torch, which breaks the code. Downgrading the torch version back to the given version in the github then breaks the torchvision install. Had to go find a compatability matrix between these two dependencies to solve this.
Issues with cmap=""gray"" in a couple torchvision calls. Removing this then there is another unexpected keyword argument (function was unused so I commented it out). This happened 3 times....
Ran out of 1 hour time",AsiaCCS-2023-BFU:_Bayesian_Federated_Unlearning_with_Parameter_Self-Sharing,5_AsiaCCS-2023-BFU_Bayesian_Federated
Reconstruction Attack on Differential Private Trajectory Protection Mechanisms,"Erik Buchholz, Alsharif Abuadbba, Shuo Wang, Surya Nepal, Salil Subhash Kanhere",https://dl.acm.org/doi/pdf/10.1145/3564625.3564628,https://github.com/erik-buchholz/RAoPT,ACSAC,2022,8,2,1,2,10/19/2023,Python,,2,-1,,0,,0,"Errors on their unit test script (missing custom module)
processing given datasets worked
Adding a ""projection trajectory"" to one of the datasets is estimated at 207 hours and this need to be done 37 times (but they state you can cancel it any time.) So I ran for a few minutes and canceled it.
I did the preprocssing (cut-off) for 2 of the 37 and am trying the evaluation script

Needs 128GB RAM (even with this, does not run)",ACSAC-2022-Reconstruction_Attack_on_Differential_Private_Trajectory_Protection_Mechanisms,6_ACSAC-2022-Reconstruction_Attack_on
Practical Operation Extraction from Electromagnetic Leakage for Side-Channel Analysis and Reverse Engineering,"Pieter Robyns, Mariano Di Martino, Dennis Giese, Wim Lamotte, Peter Quax, Guevara Noubir",https://dl.acm.org/doi/pdf/10.1145/3395351.3399362,https://github.com/rpp0/em-operation-extraction,WiSec,2020,0,1,1,2,"May 13, 2020","Python, Shell",VM,,,,0,Research Foundation Flanders and BOF,"0,2,4",This one requires a VM and GPU which Hipergator does not support,WiSec-2020-Practical_Operation_Extraction_from_Electromagnetic_Leakage_for_Side-Channel_Analysis_and_Reverse_Engineering,7_WiSec-2020-Practical_Operation_Extraction
An Unbiased Transformer Source Code Learning with Semantic Vulnerability Graph,"Nafis Tanveer Islam,Gonzalo De La Torre Parra,Dylan Manuel,Elias Bou-Harb,Peyman Najafirad",https://arxiv.org/pdf/2304.11072.pdf,https://github.com/pial08/SemVulDet,EuroS&P,2023,0,2,"1,2",2,"Jul 19, 2023","Python, C++, Shell",,2,-1,,0,NSF,-1,"Missing tensorboard, tensorboardX, scipy,sklearn dependency.
Running their run.sh script breaks when giving it the paramters they suggest (file locations specifically)
The helpers that they have for describing the args that the code takes are contradictory to the directions issued in  the readme",EuroS&P-2023-An_Unbiased_Transformer_Source_Code_Learning_with_Semantic_Vulnerability_Graph,8_EuroSP-2023-An_Unbiased_Transformer
Lethe: Practical Data Breach Detection with Zero Persistent Secret State,"Antreas Dionysiou, Elias Athanasopoulos",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797372,https://bitbucket.org/srecgrp/lethe-public/src/master/,EuroS&P,2022,0,1,"1,2",2,2024-01-11,Python,,0,1,,0,"European Union’s Horizon 2020 research, the Marie SkłodowskaCurie grant agreement",-1,Needed at least 20gb of memory,EuroS&P-2022-Lethe:_Practical_Data_Breach_Detection_with_Zero_Persistent_Secret_State,9_EuroSP-2022-Lethe_Practical_Data
Unrolling SGD: Understanding Factors Influencing Machine Unlearning,"Anvith Thudi, Gabriel Deza, Varun Chandrasekaran, Nicolas Papernot",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpDNietvW/pdf,https://github.com/cleverhans-lab/unrolling-sgd,EuroS&P,2022,0,1,1,2,"Mar 13, 2022",Python,,2,-1,,1,"Canada CIFAR AI Chair program, GARD program, Intel, Meta, NFRF, NSERC, and COHESA Strategic Alliance",-1,"no parameters given for any file
Installing requirements as needed
PyHessian package will not load correctly (not from pip, or source)",EuroS&P-2022-Unrolling_SGD:_Understanding_Factors_Influencing_Machine_Unlearning,10_EuroSP-2022-Unrolling_SGD_Understanding
Trojaning Language Models for Fun and Profit,"Xinyang Zhang,Zheng Zhang,Shouling Ji,Ting Wang",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581257,https://github.com/alps-lab/trojan-lm,EuroS&P,2021,0,1,1,2,"Jun 17, 2021","Python, Shell",,2,-1,,1,"NSF, National Key Research and Development Program of China, NSFC, Zhejiang Provincial Natural Science Foundation for Distinguished Young Scholars, Fundamental Research Funds for the Central Universities",-1,"No python version
Some of their scripts call code that does not exist
readme missing most all dependencies
scripts for code that does exist tries to access hard coded data that is missing
Typos in the name of python files in the scripts provided",EuroS&P-2021-Trojaning_Language_Models_for_Fun_and_Profit,11_EuroSP-2021-Trojaning_Language_Models
